id,cid,label,ChineseSimplified,ChineseTraditional,English,Japanese,Korean,French,German,Spanish,Portuguese,Russian,Turkish,Thai,Indonesian,Vietnamese,Italian,Polish,Dutch,Swedish,Norwegian,Danish,Finnish,Ukrainian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000026,,,风云6服,风云6服,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,,,系统,系統,System,システム,시스템,Système,System,Systema,Sistema,Система,Sistem,ระบบ,Sistem,Hệ thống,Sistema,System,System,System,System,System,Järjestelmä,Система,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,,,私聊,私聊,Private Chat,プライベートチャット,귓속말,Chat privé,Privater Chat,Chat privado,Bate-papo privado,Личный чат,Özel Sohbet,แชทส่วนตัว,Obrolan pribadi,Trò chuyện riêng,Chat privato,Czat prywatny,Privégesprek,Privatchatt,Privat chat,Privat chat,Yksityinen keskustelu,Приватний чат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,,,当前,當前,Local,現在,현재,Actuel,Aktuell,Actual,Atual,Текущий,Mevcut,ปัจจุบัน,Saat ini,Hiện tại,Attuale,Bieżący,Huidig,Nuvarande,Nåværende,Nuværende,Nykyinen,Поточний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003,,,战斗,戰鬥,Battle,バトル,전투,Combat,Kampf,Combate,Combate,Бой,Savaş,การต่อสู้,Pertempuran,Trận đấu,Combattimento,Walka,Gevecht,Strid,Kamp,Kamp,Taistelu,Бій,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4004,,,世界,世界,World,世界,세계,Monde,Welt,Mundo,Mundo,Мир,Dünya,โลก,Dunia,Thế giới,Mondo,Świat,Wereld,Värld,Verden,Verden,Maailma,Світ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005,,,传闻,傳聞,Rumor,噂,소문,Rumeur,Gerücht,Rumor,Boato,Слух,Söylenti,ข่าวลือ,Gosip,Tin đồn,Voce,Plotka,Gerucht,Rykte,Rykte,Rygte,Huhu,Чутка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4006,,,自动,自動,Auto,自動,자동,Auto,Automatisch,Auto,Automático,Авто,Otomatik,อัตโนมัติ,Otomatis,Tự động,Automatico,Auto,Automatisch,Automatisk,Automatisk,Automatisk,Automaattinen,Автоматично,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,,,上面,上面,Above,上,위,Au-dessus,Oberhalb,Encima,Acima,Выше,Yukarıda,ข้างบน,Di atas,Phía trên,Sopra,Powyżej,Boven,Ovan,Over,Over,Yläpuolella,Вгорі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,,,下面,下面,Below,下,아래,En dessous,Unterhalb,Debajo,Abaixo,Ниже,Aşağıda,ข้างล่าง,Di bawah,Phía dưới,Sotto,Poniżej,Onder,Nedan,Nedenfor,Nedenfor,Alapuolella,Внизу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,,,里面,裡面,Inside,中,안쪽,À l'intérieur,Innen,Adentro,Dentro,Внутри,İçeride,ข้างใน,Di dalam,Bên trong,Dentro,W środku,Binnen,Inuti,Inne,I,Sisällä,Всередині,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,,,外面,外面,Outside,外,밖,À l'extérieur,Außen,Afuera,Fora,Снаружи,Dışarıda,ข้างนอก,Di luar,Bên ngoài,Fuori,Poza,Buiten,Utanför,Utenfor,Udenfor,Ulkopuolella,Зовні,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,,,头,頭,Head,頭,머리,Tête,Kopf,Cabeza,Cabeça,Голова,Kafa,หัว,Kepala,Đầu,Testa,Głowa,Hoofd,Huvud,Hode,Hoved,Pää,Голова,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,,,胸,胸,Chest,胸,가슴,Poitrine,Brust,Pecho,Peito,Грудь,Göğüs,หน้าอก,Dada,Ngực,Petto,Klatka piersiowa,Borst,Bröst,Bryst,Bryst,Rinta,Груди,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,,,背部,背部,Back,背中,등,Dos,Rücken,Espalda,Costas,Спина,Sırt,หลัง,Punggung,Lưng,Schiena,Plecy,Rug,Rygg,Rygg,Ryg,Selkä,Спина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,,,翅膀,翅膀,Wings,翼,날개,Ailes,Flügel,Alas,Asas,Крылья,Kanatlar,ปีก,Sayap,Cánh,Ali,Skrzydła,Vleugels,Vingar,Vinger,Vinger,Siivet,Крила,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,,,腰部,腰部,Waist,腰,허리,Taille,Taille,Cintura,Cintura,Талия,Bel,เอว,Pinggang,Eo,Vita,Talia,Taille,Midja,Midje,Talje,Vyötärö,Талія,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,,,手,手,Hand,手,손,Main,Hand,Mano,Mão,Рука,El,มือ,Tangan,Tay,Mano,Ręka,Hand,Hand,Hånd,Hånd,Käsi,Рука,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,,,腿,腿,Leg,脚,다리,Jambe,Bein,Pierna,Perna,Нога,Bacak,ขา,Kaki,Chân,Gamba,Noga,Been,Ben,Bein,Ben,Jalka,Нога,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,,,脚,腳,Foot,足,발,Pied,Fuß,Pie,Pé,Ступня,Ayak,เท้า,Kaki,Chân,Piede,Stopa,Voet,Fot,Fot,Fod,Jalka,Ступня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,,,爪子,爪子,Claw,爪,발톱,Griffe,Klaue,Garra,Garra,Коготь,Pençe,กรงเล็บ,Cakar,Móng vuốt,Artiglio,Pazur,Klauw,Klo,Klo,Klo,Tassu,Кіготь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,,,尾巴,尾巴,Tail,尻尾,꼬리,Queue,Schwanz,Cola,Rabo,Хвост,Kuyruk,หาง,Ekor,Đuôi,Coda,Ogon,Staart,Svans,Hale,Hale,Häntä,Хвіст,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,气血,氣血,HP,体力,체력,Points de vie,Gesundheit,Puntos de vida,Pontos de vida,Очки здоровья,Can puanı,พลังชีวิต,Kesehatan,Sinh lực,Punti vita,Punkty życia,Levenspunten,Hälsa,Helse,Livspointit,Elämäpisteet,Очки здоров’я,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,,攻击,攻擊,Attack,攻撃,공격,Attaque,Angriff,Ataque,Ataque,Атака,Saldırı,โจมตี,Serangan,Tấn công,Attacco,Atak,Aanval,Attack,Angrep,Angreb,Hyökkäys,Атака,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,,,防御,防禦,Defense,防御,방어,Défense,Verteidigung,Defensa,Defesa,Защита,Savunma,ป้องกัน,Pertahanan,Phòng thủ,Difesa,Obrona,Verdediging,Försvar,Forsvar,Forsvar,Puolustus,Захист,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,,,敏捷,敏捷,Agility,敏捷,민첩,Agilité,Beweglichkeit,Agilidad,Agilidade,Ловкость,Çeviklik,ความว่องไว,Kelincahan,Nhanh nhẹn,Agilità,Zwinność,Behendigheid,Smidighet,Smidighet,Smidighed,Ketteryys,Спритність,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,,,内力,內力,Inner Power,内力,내력,Énergie interne,Innere Kraft,Poder interno,Poder interno,Внутренняя сила,İç güç,พลังภายใน,Kekuatan batin,Nội lực,Forza interiore,Siła wewnętrzna,Binnenkracht,Inre kraft,Indre kraft,Indre kraft,Sisäinen voima,Внутрішня сила,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,,,精神,精神,Spirit,精神,정신,Esprit,Geist,Espíritu,Espírito,Дух,Ruh,จิตใจ,Jiwa,Tinh thần,Spirito,Duch,Geest,Ande,Ånd,Ånd,Henki,Дух,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,,体质,體質,Constitution,体質,체질,Constitution,Konstitution,Constitución,Constituição,Телосложение,Vücut yapısı,ร่างกาย,Konstitusi,Thể chất,Costituzione,Kondycja,Lichaamsbouw,Kroppskonstitution,Kroppskonstitusjon,Kropsbygning,Ruumiinrakenne,Статура,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,,,放空,放空,Empty Mind,空にする,마음 비우기,Esprit vide,Leerer Geist,Mente vacía,Mente vazia,Пустой разум,Boş zihin,ทำจิตให้ว่าง,Kosongkan pikiran,Tâm rỗng,Mente vuota,Pusty umysł,Lege geest,Tomt sinne,Tomt sinn,Tomt sind,Mieli tyhjäksi,Спорожнити розум,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,昏迷,昏迷,Unconscious,昏睡,혼수,Inconscient,Bewusstlos,Inconsciente,Inconsciente,Без сознания,Bilinçsiz,หมดสติ,Pingsan,Hôn mê,Incosciente,Nieprzytomny,Bewusteloos,Medvetslös,Bevisstløs,Bevidstløs,Tajuton,Непритомній,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,,,女,女,Female,女性,여성,Femme,Weiblich,Femenino,Feminino,Женский,Kadın,หญิง,Perempuan,Nữ,Femmina,Kobieta,Vrouw,Kvinna,Kvinne,Kvinde,Nainen,Жінка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,,,男,男,Male,男性,남성,Homme,Männlich,Masculino,Masculino,Мужской,Erkek,ชาย,Laki-laki,Nam,Maschio,Mężczyzna,Man,Man,Mann,Mand,Mies,Чоловік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,,,男婴,男嬰,Baby Boy,男の赤ん坊,남자 아기,Bébé garçon,Jungenbaby,Bebé niño,Bebê menino,Младенец-мальчик,Erkek bebek,ทารกชาย,Bayi laki-laki,Em bé trai,Bambino maschio,Chłopiec niemowlę,Jongen baby,Pojkbarn,Guttespædbarn,Guttespædbarn,Poikavauva,Хлопчик немовля,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,,,男孩,男孩,Boy,少年,소년,Garçon,Junge,Niño,Menino,Мальчик,Erkek çocuk,เด็กชาย,Anak laki-laki,Cậu bé,Ragazzo,Chłopiec,Jongen,Pojke,Gutt,Dreng,Poika,Хлопчик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,,,少年,少年,Young Man,少年,청년,Jeune homme,Junger Mann,Joven joven,Jovem homem,Юноша,Genç adam,หนุ่มชาย,Pria muda,Thiếu niên,Giovane uomo,Młodzieniec,Jonge man,Ung man,Ung mann,Ung mand,Nuori mies,Юнак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6003,,,小伙,小伙,Young Guy,若者,젊은이,Jeune gars,Junger Kerl,Chico joven,Rapaz jovem,Парень,Genç,Yai หนุ่ม,Pemuda,Chàng trai giovane,Ragazzo giovane,Młody chłopak,Jonge kerel,Ung kille,Ung fyr,Ung fyr,Nuori kaveri,Парубок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,,,大叔,大叔,Middle-aged Man,おじさん,아저씨,Homme d’âge mûr,Mittleren Alters Mann,Hombre de mediana edad,Homem de meia-idade,Мужчина средних лет,Orta yaşlı adam,ชายวัยกลางคน,Pria paruh baya,Người đàn ông trung niên,Uomo di mezza età,Mężczyzna w średnim wieku,Middelbare man,Medelålders man,Middelaldrende mann,Middelaldrende mand,Keski-ikäinen mies,Чоловік середніх років,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,,,老人,老人,Old Man,老人,노인,Vieil homme,Alter Mann,Anciano,Idoso,Старик,Yaşlı adam,คนแก่ชาย,Orang tua pria,Người già,Uomo anziano,Starszy mężczyzna,Oude man,Gammal man,Gammel mann,Gammel mand,Vanha mies,Старий чоловік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6006,,,老爷爷,老爺爺,Grandpa,おじいさん,할아버지,Grand-père,Großvater,Abuelo,Avô,Дедушка,Dede,คุณปู่,Kakek,Ông nội,Nonno,Dziadek,Grootvader,Farfar,Bestefar,Bedstefar,Isoisä,Дідусь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,,,女婴,女嬰,Baby Girl,女の赤ん坊,여자 아기,Bébé fille,Mädchenbaby,Bebé niña,Bebê menina,Младенец-девочка,Kız bebek,ทารกหญิง,Bayi perempuan,Em bé gái,Bambina,Female niemowlę,Meisjesbaby,Flickebarn,Jentespædbarn,Jentespædbarn,Tyttövauva,Дівчинка немовля,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,,,女孩,女孩,Girl,少女,소녀,Fille,Mädchen,Niña,Menina,Девочка,Kız çocuk,เด็กหญิง,Anak perempuan,Cô bé,Ragazza,Dziewczynka,Meisje,Flicka,Jente,Pige,Tyttö,Дівчинка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5002,,,少女,少女,Young Girl,少女,소녀,Jeune fille,Junges Mädchen,Joven chica,Jovem garota,Юная девушка,Genç kız,หญิงสาว,Remaja perempuan,Thiếu nữ,Giovane ragazza,Młoda dziewczyna,Jonge meisje,Ung flicka,Ung jente,Ung pige,Nuori tyttö,Юна дівчина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5003,,,姑娘,姑娘,Young Lady,娘,아가씨,Jeune dame,Junge Dame,Señorita,Senhorita,Девушка,Genç hanım,หญิงสาว,Muda wanita,Cô gái trẻ,Signorina,Młoda dama,Jonge dame,Ung dam,Ung kvinne,Ung dame,Nuori nainen,Дівчина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5004,,,妇人,婦人,Woman,婦人,부인,Femme,Frau,Mujer,Mulher,Женщина,Kadın,สตรี,Wanita,Phụ nữ,Donna,Kobieta,Vrouw,Kvinna,Kvinne,Kvinde,Nainen,Жінка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5005,,,老妇,老妇,Old Woman,老女,노파,Vieille femme,Alte Frau,Anciana,Idosa,Старуха,Yaşlı kadın,หญิงชรา,Perempuan tua,Người đàn bà già,Vecchia donna,Stara kobieta,Oude vrouw,Gammal kvinna,Gammel kvinne,Gammel kvinde,Vanha nainen,Стара жінка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5006,,,老婆婆,老婆婆,Grandma,おばあさん,할머니,Grand-mère,Großmutter,Abuela,Avó,Бабушка,Nine,คุณย่า,Nenek,Bà già,Nonna,Babcia,Grootmoeder,Farmor,Bestemor,Bedstemor,Mummo,Бабуся,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,交谈,交談,Talk,会話,대화,Parler,Sprechen,Hablar,Falar,Разговаривать,Konuşmak,พูดคุย,Berbicara,Trò chuyện,Parlare,Rozmawiać,Praten,Prata,Snakke,Snakke,Puhua,Говорити,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,袭击,襲擊,Attack,襲撃,습격,Attaque,Angriff,Ataque,Ataque,Нападение,Saldırı,การโจมตี,Serangan,Tấn công,Attacco,Atak,Aanval,Angrepp,Angrep,Angreb,Hyökkäys,Напад,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,设置,設置,Settings,設定,설정,Régler,Einstellen,Configurar,Configurar,Настройки,Ayarla,ตั้งค่า,Pengaturan,Cài đặt,Impostare,Ustawić,Instellen,Ställa in,Konfigurere,Indstille,Asettaa,Налаштувати,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,拾取,拾取,Pick Up,拾う,줍다,Ramasser,Aufheben,Recoger,Pegar,Подобрать,Almak,เก็บ拾,Memungut,Nhặt lên,Raccogliere,Podnieść,Oppakken,Plocka upp,Plukke opp,Samle op,Poimia,Підібрати,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,丢弃,丟棄,Discard,捨てる,버리다,Jeter,Verwerfen,Descartar,Descartar,Выбросить,Atmak,ทิ้ง,Membuang,Vứt bỏ,Gettare,Wyrzucić,Weggooien,Kasta bort,Kaste,Smide væk,Heittää pois,Викинути,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,装备,裝備,Equip,装備する,장착하다,Équiper,Ausrüsten,Equipar,Equipar,Снарядить,Kuşanmak,สวมใส่,Melengkapi,Trang bị,Equipaggiare,Wyposażyć,Uitrusten,Utrusta,Utrust,Bevæbne,Varustaa,Оснастити,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,卸下,卸下,Unequip,外す,해제하다,Déséquiper,Ablegen,Desequipar,Remover,Снять,Ekipmanı çıkar,ถอดออก,Melepas,Gỡ bỏ,Svestire,Odłożyć,Uittrekken,Ta av,Fjerne,Aftage,Riisu,Зняти,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,给予,給予,Give,与える,주다,Donner,Geben,Dar,Dar,Дать,Vermek,ให้,Memberi,Cho,Donare,Dać,Geven,Ge,Gi,Give,Antaa,Дати,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,使用,使用,Use,使用する,사용하다,Utiliser,Benutzen,Usar,Usar,Использовать,Kullanmak,ใช้,Menggunakan,Sử dụng,Usare,Użyć,Gebruiken,Använda,Bruke,Brug,Kayttää,Використати,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,跟随,跟隨,Follow,従う,따르다,Suivre,Folgen,Seguir,Seguir,Следовать,Takip etmek,ติดตาม,Mengikuti,Theo dõi,Seguire,Śledzić,Volgen,Följa,Følge,Følge,Seurata,Слідувати,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,脱离,脫離,Leave,離れる,떠나다,Quitter,Verlassen,Dejar,Deixar,Покинуть,Ayrılmak,ออกจาก,Menjauh,Tách khỏi,Lasciare,Opuścić,Verlaten,Lämna,Forlate,Forlade,Jättää,Покинути,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,武学,武學,Martial Arts,武術,무술,Arts martiaux,Kampfkunst,Artes marciales,Artes marciais,Боевые искусства,Dövüş sanatları,ศิลปะการต่อสู้,Seni bela diri,Võ học,Arti marziali,Sztuki walki,Vechtsport,Kampsport,Kampsport,Kampsport,Taistelulajit,Бойові мистецтва,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,购买,購買,Purchase,購入,구매,Acheter,Kaufen,Comprar,Comprar,Покупка,Satın almak,ซื้อ,Membeli,Mua,Acquistare,Kupić,Kopen,Köpa,Kjøpe,Købe,Ostaa,Купити,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,出售,出售,Sell,販売,판매,Vendre,Verkaufen,Vender,Vender,Продать,Satmak,ขาย,Menjual,Bán,Vendere,Sprzedać,Verkopen,Sälja,Selge,Sælge,Myydä,Продати,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,施展,施展,Cast,発動,시전하다,Lancer,Wirken,Lanzar,Lançar,Применить,Büyü yapmak,ร่ายเวท,Casting,Múa phép,Lanciare,Rzucić,Uitvoeren,Kasta,Kaste,Kaste,Heittää loitsu,Застосувати,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,酿造,釀造,Brewing,醸造,양조,Brassage,Brauen,Fermentación,Fermentação,Варка,Bira yapımı,การหมัก,Pembuatan bir,Chế biến đồ uống,Fermentazione,Warzenie,Brouwen,Bryggning,Brygging,Brygning,Panimo,Варіння,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,进入,進入,Enter,入る,들어가다,Entrer,Betreten,Entrar,Entrar,Войти,Gir,เข้าสู่,Memasuki,Vào,Entrare,Wejść,Binnengaan,Gå in,Gå inn,Gå ind,Mennä sisään,Увійти,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,,神启,神啟,Divine Revelation,神示,신계시,Révélation Divine,Göttliche Offenbarung,Revelación Divina,Revelação Divina,Божественное Откровение,İlahi Vahiy,การเปิดเผยศักดิ์สิทธิ์,Wahyu Ilahi,Thiên Khải,Rivelazione Divina,Boskie Objawienie,Goddelijke Openbaring,Gudomlig Uppenbarelse,Guddommelig Åpenbaring,Guddommelig Åbenbaring,Jumalallinen Ilmestys,Божественне Одкровення,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,前往,前往,Go To,向かう,이동,Aller à,Gehen zu,Ir a,Ir para,Идти к,Gitmek,ไปที่,Pergi ke,Đi đến,Andare a,Idź do,Ga naar,Gå till,Gå til,Gå til,Mene,Йти до,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,圣泉镇,,圣泉镇,聖泉鎮,Wellspring,聖泉の町,성천진,Cité de la Source Sacrée,Heilige Quellstadt,Ciudad del Manantial Sagrado,Cidade da Fonte Sagrada,Город Священного Родника,Kutsal Pınar Şehri,เมืองน้ำพุศักดิ์สิทธิ์,Kota Mata Air Suci,Thành phố Suối Thánh,Città della Sorgente Sacra,Miasto Świętego Źródła,Heilige Bronstad,Heliga Källstaden,Hellige Kildestad,Hellige Kildeby,Pyhän Lähteen Kaupunki,Місто Святого Джерела,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100001,地下城,,地下城,地下城,Underholt,地下都市,지하도시,Cité Souterraine,Unterhort,Ciudad Subterránea,Cidade Subterrânea,Подземный Оплот,Yeraltı Kalesi,นครใต้ดิน,Kota Bawah Tanah,Thành Trì Ngầm,Città Sotterranea,Podziemna Twierdza,Onderholt,Underjord,Underjord,Underjord,Maa-alainen Linnake,Підземна Фортеця,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100002,雾都,,雾都,霧都,Misthold,霧の都,안개의 도시,Cité des Brumes,Nebelburg,Ciudad de la Niebla,Cidade da Névoa,Туманный Оплот,Sis Kalesi,เมืองหมอก,Kota Kabut,Thành phố Sương Mù,Città della Nebbia,Miasto Mgły,Nevelholt,Dimborg,Tåkeborg,Tågebyen,Sumukaupunki,Туманна Фортеця,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100003,绿洲营地,,绿洲营地,綠洲營地,Oasis Camp,オアシスの営地,오아시스 캠프,Camp de l'Oasis,Oasenlager,Campamento del Oasis,Acampamento do Oásis,Лагерь Оазиса,Vaha Kampı,ค่ายโอเอซิส,Kemah Oasis,Trại Ốc Đảo,Campo dell'Oasi,Obóz Oazy,Oasekamp,Oasläger,Oaseleir,Oaselejr,Keidas-leiri,Табір Оази,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100004,清泉平原,,清泉平原,清泉平原,Springfield,清泉の平原,청천 평원,Plaine d’Enada,Enada-Ebene,Llanura de Enada,Planície das Nascentes Claras,Равнина Чистых Ключей,Berrak Pınar Ovası,ที่ราบน้ำพุใส,Dataran Mata Air Jernih,Đồng bằng Suối Trong,Pianura delle Sorgenti Limpide,Równina Czystych Źródeł,Heldere Bronnenvlakte,Klara Källornas Slätt,Klare Kilders Slette,Klare Kilders Slette,Kirkkaiden Lähteiden Tasanko,Рівнина Чистих Джерел,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
